timestamp,symbol,in_universe,has_volume_slots,exists_in_polygon,polygon_name,classification
2025-11-14 11:16:22,ETIP,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:22,DSXPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:23,SYFPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:23,RITMPE,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:23,DLRPJ,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:23,RCPE,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:23,TENPE,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:23,MSPQ,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:24,RITMPD,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:24,TENPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:24,GDVPK,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:24,SPGPJ,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:25,AHHPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:25,BANCPF,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:25,DDV,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:25,TSYW,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:25,ADCPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:26,TFCPO,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:26,CFGPI,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:26,ATHPB,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:26,FHNPC,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:26,NEEPN,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:27,BAPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:27,PSAPR,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:27,WRBPG,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:27,ATHPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:27,GPMTPA,f,f,false,"N/A",FANTASMA
2025-11-14 11:16:27,NXDTPA,f,f,false,"N/A",FANTASMA
